URLLength,DomainLength,IsDomainIP,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,DomainTitleMatchScore,URLTitleMatchScore,CharContinuationRate
25,18,0,0.5229071,0.063854666,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,100.0,100.0,1.0
25,18,0,0.0033218,0.048721734,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,0.0,0.0,0.727272727
24,17,0,0.5229071,0.063282699,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,100.0,100.0,1.0
32,25,0,0.5229071,0.056111267,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,100.0,100.0,1.0
23,16,0,0.5229071,0.050065269,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,75.0,75.0,1.0
49,40,0,0.0009613,0.036269544,3,2,0,0,0.0,24,0.49,11,0.224,0,0,0,6,0.122,1,0.0,0.0,0.361111111
28,21,0,0.5229071,0.058173228,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,100.0,100.0,0.615384615
24,17,0,0.0022172,0.054582988,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,100.0,100.0,1.0
35,28,0,0.0141483,0.053811454,2,1,0,0,0.0,20,0.571,0,0.0,0,0,0,3,0.086,1,100.0,100.0,0.476190476
45,36,0,0.5229071,0.049215963,3,1,0,0,0.0,31,0.689,3,0.067,0,0,0,3,0.067,1,0.0,0.0,0.65625
